PTM,True Positive,False Positive,True Negative,False Negative,Precision,Recall,Accuracy
Acetylation_K,12.0,0.0,87.0,77.0,1.0,0.1348314606741573,0.5625
Acetylation_M,0.0,0.0,2.0,2.0,,0.0,0.5
Glycosylation_S,2.0,0.0,17.0,15.0,1.0,0.11764705882352941,0.5588235294117647
Glycosylation_T,2.0,0.0,4.0,2.0,1.0,0.5,0.75
Lipidation_C,0.0,0.0,1.0,1.0,,0.0,0.5
Methylation_G,0.0,0.0,1.0,1.0,,0.0,0.5
Methylation_K,3.0,0.0,202.0,199.0,1.0,0.01485148514851485,0.5074257425742574
Methylation_R,6.0,0.0,14.0,8.0,1.0,0.42857142857142855,0.7142857142857143
Monomethylation_K,0.0,0.0,1.0,1.0,,0.0,0.5
O-glcNAcylation_S,0.0,0.0,1.0,1.0,,0.0,0.5
Palmitoylation_C,1.0,0.0,3.0,2.0,1.0,0.3333333333333333,0.6666666666666666
Phosphorylation_C,0.0,0.0,1.0,1.0,,0.0,0.5
Phosphorylation_E,0.0,0.0,1.0,1.0,,0.0,0.5
Phosphorylation_K,0.0,0.0,1.0,1.0,,0.0,0.5
Phosphorylation_R,0.0,0.0,2.0,2.0,,0.0,0.5
Phosphorylation_S,146.0,26.0,582.0,489.0,0.8488372093023255,0.22992125984251968,0.585679806918745
Phosphorylation_T,15.0,3.0,220.0,210.0,0.8333333333333334,0.06666666666666667,0.5245535714285714
Phosphorylation_Y,24.0,2.0,98.0,84.0,0.9230769230769231,0.2222222222222222,0.5865384615384616
Sumoylation_K,41.0,2.0,149.0,110.0,0.9534883720930233,0.271523178807947,0.6291390728476821
Thiol oxidation_C,0.0,0.0,4.0,4.0,,0.0,0.5
Ubiquitination_K,13.0,0.0,76.0,65.0,1.0,0.16666666666666666,0.577922077922078
