PTM,True Positive,False Positive,True Negative,False Negative,Precision,Recall,Accuracy
Acetylation_K,84.0,0.0,87.0,5.0,1.0,0.9438202247191011,0.9715909090909091
Acetylation_M,2.0,0.0,2.0,0.0,1.0,1.0,1.0
Glycosylation_S,10.0,0.0,17.0,7.0,1.0,0.5882352941176471,0.7941176470588235
Glycosylation_T,2.0,0.0,4.0,2.0,1.0,0.5,0.75
Lipidation_C,1.0,0.0,1.0,0.0,1.0,1.0,1.0
Methylation_G,1.0,0.0,1.0,0.0,1.0,1.0,1.0
Methylation_K,177.0,1.0,201.0,25.0,0.9943820224719101,0.8762376237623762,0.9356435643564357
Methylation_R,11.0,0.0,14.0,3.0,1.0,0.7857142857142857,0.8928571428571429
Monomethylation_K,1.0,0.0,1.0,0.0,1.0,1.0,1.0
O-glcNAcylation_S,1.0,0.0,1.0,0.0,1.0,1.0,1.0
Palmitoylation_C,2.0,0.0,3.0,1.0,1.0,0.6666666666666666,0.8333333333333334
Phosphorylation_C,1.0,0.0,1.0,0.0,1.0,1.0,1.0
Phosphorylation_E,1.0,0.0,1.0,0.0,1.0,1.0,1.0
Phosphorylation_K,1.0,0.0,1.0,0.0,1.0,1.0,1.0
Phosphorylation_R,2.0,0.0,2.0,0.0,1.0,1.0,1.0
Phosphorylation_S,493.0,19.0,589.0,142.0,0.962890625,0.7763779527559055,0.8704746580852776
Phosphorylation_T,191.0,4.0,219.0,34.0,0.9794871794871794,0.8488888888888889,0.9151785714285714
Phosphorylation_Y,94.0,0.0,100.0,14.0,1.0,0.8703703703703703,0.9326923076923077
Sumoylation_K,136.0,1.0,150.0,15.0,0.9927007299270073,0.9006622516556292,0.9470198675496688
Thiol oxidation_C,4.0,0.0,4.0,0.0,1.0,1.0,1.0
Ubiquitination_K,67.0,0.0,76.0,11.0,1.0,0.8589743589743589,0.9285714285714286
